Race,UseOfForce,Gender,TypeOfArrest,BondAmount,Patrol,Officer,DateTimeOfArrest,SearchConducted,Stopped,Arrest,_SELECTED_CHARGE_1,_SELECTED_CHARGE_2,_SELECTED_CHARGE_3,_SELECTED_CHARGE_4,_SELECTED_CHARGE_5,_SELECTED_CHARGE_6,TimeZone
Hispanic,No,Female,Summoned/Cited,34089,D2,Jennifer Hansen,2022-06-06 10:04:42,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Summoned/Cited,32697,D3,Sarah Shaffer,2021-10-23 06:45:28,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Summoned/Cited,19370,D2,Melanie Massey,2023-01-21 04:36:23,No,No,TRUE,Fraud,Theft,Driving Under the Influence (DUI),Robbery,Domestic Violence,Nan,US/Eastern
Black,Yes,Female,Not listed,90117,D1,Felicia Cook,2023-02-06 02:23:40,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Not listed,44133,D3,Christopher Stewart,2023-01-04 01:06:50,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Summoned/Cited,8760,D1,Kenneth Bennett,2024-03-07 04:01:04,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Taken Into Custody,27058,D2,Catherine Flores,2022-06-22 18:03:16,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Male,Taken Into Custody,27633,D2,Kimberly Lee,2023-11-12 22:31:06,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Taken Into Custody,57920,D2,Matthew Allen,2022-11-25 00:59:03,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Taken Into Custody,36870,D1,Steven White,2022-12-25 13:49:50,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Male,Taken Into Custody,3176,D2,Rachel Nguyen,2023-06-05 09:44:26,No,No,TRUE,Domestic Violence,Forgery,Nan,Forgery,Domestic Violence,Arson,US/Eastern
Asian,No,Female,Summoned/Cited,63948,D1,Candace Douglas,2023-01-09 17:48:42,No,No,TRUE,Assault,Fraud,Drug Possession,Burglary,Robbery,Arson,US/Eastern
Asian,No,Female,Summoned/Cited,81372,D2,Alyssa Henderson,2021-11-22 08:46:48,No,No,TRUE,Domestic Violence,Burglary,Burglary,Robbery,Drug Possession,Assault,US/Eastern
Hispanic,No,Female,Not listed,12559,D2,Martin Perez DDS,2023-08-20 08:19:52,No,No,TRUE,Assault,Driving Under the Influence (DUI),Arson,Arson,Burglary,Assault,US/Eastern
Black,Yes,Male,Summoned/Cited,34401,D1,Tiffany Curtis,2022-03-24 10:24:50,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,No,Male,Taken Into Custody,73507,D3,Catherine Hicks,2024-03-08 04:04:24,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Male,Not listed,41986,D2,Katherine Oneal,2023-04-30 09:00:35,No,Yes,TRUE,Nan,Drug Possession,Arson,Burglary,Nan,Arson,US/Eastern
Asian,No,Male,Summoned/Cited,68424,D3,Casey Jones,2023-05-14 05:29:01,No,No,TRUE,Burglary,Burglary,Drug Possession,Fraud,Domestic Violence,Forgery,US/Eastern
Hispanic,No,Female,Not listed,18030,D1,Cassandra Price PhD,2022-05-24 01:30:33,No,No,TRUE,Arson,Theft,Nan,Burglary,Fraud,Theft,US/Eastern
White,No,Female,Summoned/Cited,94818,D1,David Lopez,2021-12-21 20:11:11,No,No,TRUE,Nan,Robbery,Burglary,Arson,Domestic Violence,Burglary,US/Eastern
Hispanic,No,Male,Taken Into Custody,96715,D1,Tracy Wiley,2022-03-28 01:45:04,No,No,TRUE,Theft,Domestic Violence,Driving Under the Influence (DUI),Assault,Theft,Fraud,US/Eastern
White,No,Male,Not listed,88023,D1,Nathaniel Li,2023-08-24 20:49:01,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Not listed,37608,D1,John Smith,2022-05-25 01:18:50,No,No,TRUE,Driving Under the Influence (DUI),Assault,Domestic Violence,Nan,Forgery,Fraud,US/Eastern
Asian,No,Female,Summoned/Cited,1656,D3,Melissa Ingram,2024-03-14 03:21:39,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Not listed,87267,D1,Jordan Ramirez,2023-03-08 00:10:22,No,No,TRUE,Forgery,Theft,Burglary,Theft,Arson,Arson,US/Eastern
Hispanic,No,Female,Summoned/Cited,13488,D1,Amy Jones,2021-12-08 12:27:19,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Summoned/Cited,59519,D3,Denise Hamilton,2023-07-16 21:30:32,No,No,TRUE,Domestic Violence,Forgery,Theft,Assault,Arson,Driving Under the Influence (DUI),US/Eastern
Asian,No,Female,Taken Into Custody,68671,D1,Karen Diaz,2021-07-14 16:18:34,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Taken Into Custody,10169,D2,Anthony Sanders,2021-05-30 07:31:52,No,No,TRUE,Forgery,Burglary,Forgery,Driving Under the Influence (DUI),Forgery,Domestic Violence,US/Eastern
Hispanic,No,Female,Summoned/Cited,64965,D1,Tina Lewis,2023-01-25 23:18:43,No,No,TRUE,Theft,Robbery,Nan,Drug Possession,Arson,Forgery,US/Eastern
Black,Yes,Male,Summoned/Cited,85449,D3,Daniel Cherry,2022-06-25 06:48:59,No,Yes,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Not listed,32702,D3,Stephanie Mccarty,2021-11-07 04:25:18,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Summoned/Cited,72871,D1,Stephen Roberts,2022-03-22 13:02:40,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Male,Not listed,65787,D3,Dana Ward,2021-05-26 13:48:13,Yes,Yes,TRUE,Assault,Nan,Domestic Violence,Domestic Violence,Burglary,Assault,US/Eastern
Black,Yes,Female,Taken Into Custody,37441,D2,Douglas Powell,2022-01-22 15:45:41,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Summoned/Cited,24544,D1,Julie Leonard,2021-12-27 21:21:15,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Taken Into Custody,54061,D1,Scott Jacobs,2024-02-19 13:52:50,No,No,TRUE,Burglary,Arson,Burglary,Driving Under the Influence (DUI),Drug Possession,Driving Under the Influence (DUI),US/Eastern
Hispanic,No,Male,Taken Into Custody,73611,D1,Gwendolyn Ashley,2022-04-16 12:53:53,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Male,Summoned/Cited,18823,D2,Amy Chambers,2024-01-26 11:55:08,No,No,TRUE,Assault,Fraud,Arson,Drug Possession,Nan,Drug Possession,US/Eastern
Black,No,Female,Summoned/Cited,11133,D3,William Meyers,2022-10-19 18:57:09,No,No,TRUE,Forgery,Theft,Fraud,Theft,Forgery,Arson,US/Eastern
Hispanic,No,Female,Summoned/Cited,23065,D3,Wesley Everett,2022-12-31 01:03:31,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Taken Into Custody,25490,D2,Melissa Daniels,2021-04-02 22:46:19,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Female,Not listed,98265,D1,Daniel Rodriguez,2021-06-23 18:55:40,No,No,TRUE,Domestic Violence,Burglary,Robbery,Robbery,Drug Possession,Robbery,US/Eastern
Asian,No,Female,Summoned/Cited,70868,D1,William Schmitt,2023-01-03 01:04:57,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Taken Into Custody,84557,D2,Sandra Clayton,2023-02-03 16:07:59,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Male,Summoned/Cited,77025,D2,Logan Cox,2023-12-18 05:32:27,Yes,No,TRUE,Domestic Violence,Forgery,Theft,Robbery,Driving Under the Influence (DUI),Theft,US/Eastern
Hispanic,No,Female,Summoned/Cited,60844,D3,Amy Smith,2021-11-05 09:51:21,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Summoned/Cited,40167,D1,Sydney Phillips,2021-06-26 18:09:57,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Male,Taken Into Custody,16568,D1,Mr. Jeffrey Lopez,2022-01-05 16:16:40,Yes,Yes,TRUE,Forgery,Assault,Nan,Theft,Robbery,Arson,US/Eastern
Black,Yes,Male,Summoned/Cited,7080,D3,Debra Young,2021-08-19 11:10:13,No,Yes,TRUE,Robbery,Arson,Drug Possession,Nan,Forgery,Nan,US/Eastern
Asian,No,Male,Summoned/Cited,87481,D1,Joshua Garcia,2023-11-14 11:47:32,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Not listed,176,D1,Tara Nielsen,2023-10-04 11:35:00,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Female,Not listed,27605,D1,David Myers,2022-01-17 05:27:47,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Not listed,25407,D3,Carrie Salinas,2021-09-27 23:52:37,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,No,Female,Not listed,19969,D2,Mary Meyer,2021-04-20 14:07:33,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Not listed,57015,D2,Michael Baxter,2022-11-20 03:23:54,No,No,TRUE,Forgery,Nan,Domestic Violence,Arson,Theft,Nan,US/Eastern
Black,Yes,Male,Taken Into Custody,87560,D3,Jack Bennett,2021-03-23 16:30:51,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Taken Into Custody,45180,D3,Greg Davidson,2024-02-12 20:30:39,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Taken Into Custody,93475,D2,Aaron Tanner,2023-05-03 00:41:16,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Summoned/Cited,99403,D2,Kelly Bailey,2021-03-26 17:36:24,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Female,Summoned/Cited,80378,D1,Robert Green,2021-06-15 22:45:45,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Not listed,30755,D2,Haley Webster DVM,2021-10-09 20:19:39,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Not listed,9269,D3,Evelyn Hamilton,2022-06-02 13:28:59,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Summoned/Cited,12075,D2,Stacey Castillo,2022-04-01 14:03:12,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Taken Into Custody,30978,D3,Lisa Henderson,2023-01-17 09:22:53,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Male,Taken Into Custody,71646,D2,Tracy Williams,2023-05-27 19:01:10,No,Yes,TRUE,Arson,Drug Possession,Robbery,Driving Under the Influence (DUI),Domestic Violence,Burglary,US/Eastern
Hispanic,No,Female,Taken Into Custody,25767,D3,Connor Hess,2023-06-08 17:31:20,No,No,TRUE,Arson,Domestic Violence,Robbery,Burglary,Drug Possession,Fraud,US/Eastern
White,No,Male,Not listed,11748,D1,Angela Cline,2023-11-11 16:09:21,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Female,Not listed,23222,D1,Jeremy Andrews,2022-09-16 01:14:32,No,No,TRUE,Driving Under the Influence (DUI),Driving Under the Influence (DUI),Driving Under the Influence (DUI),Drug Possession,Arson,Assault,US/Eastern
White,No,Female,Not listed,57185,D1,Latoya Snow,2024-02-29 16:59:22,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,No,Male,Summoned/Cited,48986,D3,James Jones,2023-10-23 15:35:54,Yes,Yes,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Female,Summoned/Cited,27382,D2,Timothy Alvarez,2021-05-29 03:00:31,No,No,TRUE,Fraud,Domestic Violence,Forgery,Theft,Burglary,Burglary,US/Eastern
Asian,No,Male,Taken Into Custody,72833,D3,Jay Jones,2023-03-19 04:03:38,No,No,TRUE,Robbery,Driving Under the Influence (DUI),Nan,Forgery,Fraud,Nan,US/Eastern
Hispanic,No,Male,Summoned/Cited,67846,D3,Alexandra Burke,2021-11-13 01:35:26,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Taken Into Custody,49713,D3,Kim Jefferson,2023-09-23 20:00:46,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Not listed,84803,D3,Brenda Costa,2024-01-08 00:39:00,No,No,TRUE,Theft,Theft,Fraud,Fraud,Arson,Drug Possession,US/Eastern
White,No,Male,Summoned/Cited,10140,D1,Ashley Gomez,2022-06-17 00:54:06,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Not listed,41759,D2,Connor Dixon,2023-07-16 02:04:57,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Not listed,37571,D1,Andrew Wright,2022-09-05 04:10:28,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Not listed,53425,D3,Morgan Johnson,2022-08-30 11:02:39,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Male,Taken Into Custody,28187,D2,Aaron Thompson,2022-10-22 03:03:52,Yes,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Taken Into Custody,47051,D1,Erik Mathews,2024-01-07 00:56:31,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Taken Into Custody,3453,D3,Lori Ward,2023-05-29 02:02:20,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Not listed,35384,D2,Tiffany Reilly,2021-05-27 07:32:14,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Not listed,32974,D2,Christopher Burton,2023-05-14 23:18:00,No,No,TRUE,Burglary,Drug Possession,Theft,Theft,Assault,Burglary,US/Eastern
Asian,No,Male,Not listed,3612,D3,Derrick Williams,2022-01-09 11:06:08,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,No,Female,Taken Into Custody,88194,D3,Patricia Boyer,2022-05-31 20:41:11,No,No,TRUE,Burglary,Burglary,Driving Under the Influence (DUI),Fraud,Robbery,Robbery,US/Eastern
Black,Yes,Female,Summoned/Cited,65138,D2,Michael Lyons,2021-09-06 01:58:07,No,No,TRUE,Drug Possession,Theft,Assault,Domestic Violence,Burglary,Arson,US/Eastern
Black,Yes,Female,Taken Into Custody,56628,D2,Amy Ramirez,2023-10-21 06:45:49,No,No,TRUE,Driving Under the Influence (DUI),Fraud,Drug Possession,Drug Possession,Domestic Violence,Drug Possession,US/Eastern
Hispanic,No,Male,Not listed,40298,D3,Carl Lara,2022-10-04 23:54:39,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Summoned/Cited,83131,D2,Richard Anderson,2023-12-10 13:05:13,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Taken Into Custody,91759,D2,Alexis Roberts,2022-11-13 05:39:39,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Female,Taken Into Custody,78805,D2,Kelli Herrera,2021-07-27 18:24:33,No,No,TRUE,Forgery,Theft,Theft,Burglary,Fraud,Robbery,US/Eastern
Black,Yes,Male,Taken Into Custody,34030,D3,Claudia Knight,2021-04-26 13:04:25,No,Yes,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Taken Into Custody,54841,D3,Oscar Roth,2022-10-02 19:20:46,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Summoned/Cited,70527,D1,Heather Velazquez,2022-04-23 00:22:02,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Summoned/Cited,19021,D1,William Burns,2024-01-20 00:20:25,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Taken Into Custody,37696,D1,Christina Hampton,2023-05-19 08:04:10,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Taken Into Custody,33659,D2,Andrew Mooney,2022-05-18 02:03:56,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Male,Taken Into Custody,27621,D3,Michael Buckley,2022-07-31 17:30:28,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Female,Summoned/Cited,75908,D2,Amanda Johnson,2022-06-15 14:20:33,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Taken Into Custody,93865,D2,Mr. Troy Mcguire,2022-03-23 08:41:35,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Summoned/Cited,57520,D1,Brianna Williams,2022-04-29 22:32:45,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Taken Into Custody,53488,D1,Alexis Freeman,2022-08-30 19:25:47,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Female,Not listed,90337,D2,Frederick Ford,2022-06-13 19:44:00,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Male,Summoned/Cited,22472,D3,Glenda Butler,2022-11-17 09:37:02,Yes,Yes,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Taken Into Custody,40226,D1,Willie Potter,2024-02-21 11:05:40,No,No,TRUE,Arson,Arson,Assault,Fraud,Assault,Assault,US/Eastern
Asian,No,Female,Not listed,14029,D3,Dr. Danielle Crawford,2021-04-07 11:32:31,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Taken Into Custody,26401,D1,Christina Baker,2021-09-24 06:32:33,No,No,TRUE,Domestic Violence,Forgery,Domestic Violence,Domestic Violence,Burglary,Driving Under the Influence (DUI),US/Eastern
White,No,Female,Taken Into Custody,24336,D1,Timothy Walker,2023-05-19 21:31:46,No,No,TRUE,Driving Under the Influence (DUI),Domestic Violence,Burglary,Nan,Burglary,Drug Possession,US/Eastern
Asian,No,Female,Not listed,10483,D3,Peter Smith,2021-08-22 09:28:10,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Not listed,8235,D3,Danielle Bell,2024-01-08 03:30:02,No,No,TRUE,Assault,Assault,Fraud,Fraud,Nan,Driving Under the Influence (DUI),US/Eastern
Black,Yes,Male,Summoned/Cited,359,D1,Rhonda Brewer,2021-12-05 15:04:47,No,Yes,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Summoned/Cited,80137,D2,Felicia Sanders,2022-04-03 10:05:19,No,No,TRUE,Forgery,Drug Possession,Robbery,Assault,Assault,Fraud,US/Eastern
White,No,Male,Not listed,50561,D2,Ashley Johnson,2021-12-18 00:07:25,No,No,TRUE,Robbery,Theft,Forgery,Forgery,Driving Under the Influence (DUI),Forgery,US/Eastern
Asian,No,Female,Summoned/Cited,90550,D1,Terry Sharp,2024-02-14 23:06:23,No,No,TRUE,Theft,Domestic Violence,Burglary,Fraud,Fraud,Assault,US/Eastern
Black,Yes,Female,Summoned/Cited,70366,D1,Danny Garcia,2021-07-29 23:36:17,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Female,Not listed,62860,D2,Julie Williams,2022-05-18 05:47:38,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Taken Into Custody,46039,D2,Tyler Fleming,2021-12-17 03:35:48,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,No,Female,Summoned/Cited,4480,D3,Dana Wilkins,2021-09-23 20:22:40,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Summoned/Cited,58396,D2,Stephanie Atkins,2022-09-20 12:09:18,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Female,Not listed,36038,D1,Thomas Harrison,2023-06-09 09:53:41,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Summoned/Cited,76153,D1,Jim Hill,2022-02-09 03:38:43,No,No,TRUE,Forgery,Arson,Theft,Theft,Drug Possession,Driving Under the Influence (DUI),US/Eastern
White,No,Female,Not listed,39808,D1,Eric Larsen,2023-03-23 05:00:06,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Female,Summoned/Cited,51037,D3,James Moore,2021-03-23 20:03:32,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Female,Not listed,66892,D3,Andrew Reynolds,2023-10-08 22:17:39,No,No,TRUE,Forgery,Burglary,Arson,Forgery,Arson,Burglary,US/Eastern
Black,No,Male,Summoned/Cited,94850,D2,Tammy Gibson,2023-04-01 12:47:58,Yes,Yes,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Female,Taken Into Custody,41837,D3,Gregg Arnold,2021-09-12 23:13:35,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,No,Female,Taken Into Custody,41892,D2,Jennifer Schultz,2021-07-08 05:10:12,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Male,Taken Into Custody,91451,D3,Larry Baldwin,2021-12-07 16:28:18,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,No,Female,Summoned/Cited,83764,D2,Anthony Bell,2022-07-22 02:02:06,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Male,Taken Into Custody,19008,D2,Thomas Tate,2023-02-21 13:59:08,Yes,Yes,TRUE,Assault,Robbery,Forgery,Theft,Drug Possession,Theft,US/Eastern
White,No,Male,Taken Into Custody,4127,D1,Joshua Conway,2023-06-01 15:45:48,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Taken Into Custody,92233,D1,Sarah Williams,2021-07-11 10:59:58,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Taken Into Custody,61189,D1,Erin Murray,2023-02-25 16:41:12,No,No,TRUE,Theft,Driving Under the Influence (DUI),Assault,Nan,Arson,Assault,US/Eastern
Asian,No,Female,Not listed,35852,D2,Richard Haynes,2023-10-12 17:36:44,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Not listed,28588,D3,Amanda Nelson,2021-12-26 14:12:27,No,No,TRUE,Domestic Violence,Domestic Violence,Burglary,Assault,Robbery,Fraud,US/Eastern
Asian,No,Female,Summoned/Cited,71036,D1,Brandon Vaughn,2021-10-03 03:12:03,No,No,TRUE,Burglary,Theft,Drug Possession,Forgery,Theft,Theft,US/Eastern
